"year","state_code","nacchoid","lhd_name","lhd_area_type","fips_county","county_name","fips_place","counties","fips_counties","population","fte","fte_per_100000","expenditures","expenditures_infl","expenditures_per_capita","expenditures_infl_per_capita","lhd_note"
2000,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,148692,119,80.0312054448121,4984211,8696403.52756239,33.5203709681758,58.4860216256584,
2001,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,150121,120,79.9355186815968,5583557,9421255.82642316,37.1937104069384,62.757747593096,
2002,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,151632,127,83.7554078294819,5790702,9556089.07575736,38.1891817030706,63.0215856531429,
2003,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,153710,140,91.0806063366079,6722036,10748913.4161277,43.7319367640362,69.9298251000435,
2004,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,156846,142,90.5346645754434,7091825,10840840.9545038,45.2152110987848,69.1177394036433,
2005,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,160437,146,91.0014522834508,7816108,11311653.643382,48.717615013993,70.5052677585721,
2006,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,163946,145,88.4437558708355,8044004,11083461.363694,49.0649604137948,67.6043414520268,
2007,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,166648,144,86.409677883923,8704375,11378807.6259744,52.2320999951995,68.2804931710814,
2008,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,168495,143,84.868987210303,8633066,10746048.9638065,51.2363334223567,63.7766637811595,
2009,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,168464,146,86.6654003229177,9241463,11567089.292065,54.8571979770159,68.6620838402567,
2010,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,168957,153,90.555585148884,9464710,11518534.774002,56.0184543996401,68.1743566351323,
2011,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,169311,153,90.3662490919078,9775075,11522585.057142,57.7344354471948,68.0557380036854,
2012,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,169477,161,94.9981413407129,9782848,11271014.83776,57.7237501253857,66.5046869944594,
2013,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,170004,164,96.4683183925084,9643671,10757914.2250796,56.7261417378415,63.2803594331877,
2014,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,171285,173,101.001255217912,11723369,12785013.8598893,68.4436407157661,74.6417599900123,
2015,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,174016,179,102.864104450165,11751218,12811504.1893316,67.5295260205958,73.6225645304549,
2016,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,176637,180,101.903904617945,11724630,12761143.3820167,66.37697651115,72.2450187787199,
2017,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,178953,153,85.4973093493822,9741947,10322623.7022008,54.4385788447246,57.6834347689105,
2018,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,182218,148,81.2213941542548,9752452,9963461.67332317,53.5207937744899,54.6788005209319,
2019,"FL","FL004","Florida Department of Health in Bay County","single county","12005","Bay County",,1,,179900,141,78.3768760422457,9400436,9400436,52.2536742634797,52.2536742634797,
1990,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,22576,14,62.0127569099929,569365,1334561.07216243,25.2199238128987,59.1141509639631,
1991,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,23064,14,60.7006590357267,633040,1431393.72519773,27.4471037114117,62.0618160422187,
1992,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,23275,15,64.4468313641246,697693,1525576.12290757,29.9760687432868,65.5456980841062,
1993,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,23524,15,63.7646658731508,678075,1446657.10344061,28.8248172079578,61.4970712226073,
1994,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,24287,14,57.644007081978,722818,1503363.31400513,29.7615185078437,61.8999182280696,
1995,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,24428,15,61.4049451449157,752103,1523646.33707865,30.788562305551,62.3729464990442,
1996,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,25167,16,63.5753168832201,826128,1636039.31340564,32.825843366313,65.0073236144809,
1997,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,25368,18,70.9555345316935,867493,1680577.14711372,34.1963497319458,66.2479165528902,
1998,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,25496,20,78.4436774395984,975676,1854025.78446314,38.2678067147788,72.7183003005623,
1999,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,25767,22,85.380525478325,1133195,2072080.72530472,43.9785384406411,80.4160641636482,
2000,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,26110,23,88.088854844887,1176545,2052824.42664163,45.0610877058598,78.6221534523795,
2001,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,26159,21,80.2782981000803,1203350,2030438.33863007,46.001376199396,77.6191115344651,
2002,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,26511,22,82.9844215608615,1124140,1855108.75427917,42.4027762061031,69.9750576847032,
2003,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,27062,24,88.6852412977607,1182817,1891390.87028452,43.7076712733723,69.8910232164853,
2004,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,27670,23,83.1225153595952,1210209,1849972.79130677,43.7372244307915,66.8584312001001,
2005,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,28002,23,82.1369902149846,1335001,1932044.55792687,47.675201771302,68.996663021458,
2006,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,28461,24,84.3259196795615,1434228,1976156.4793762,50.3927479709076,69.4338385642178,
2007,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,28837,24,83.2264105142699,1420846,1857403.12200878,49.271630197316,64.4104144678289,
2008,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,28964,27,93.2191686231183,1764759,2196691.95432053,60.9293951111725,75.8421472973531,
2009,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,28919,26,89.9062899823645,1743427,2182162.69255171,60.2865590096476,75.4577507020199,
2010,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,28479,25,87.7839811791144,1847051,2247857.69166253,64.8565960883458,78.9303589192924,
2011,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,28385,26,91.5976748282544,1639607,1932722.88118356,57.7631495508191,68.0895853860687,
2012,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,27083,28,103.385887826312,1784644,2056124.04528,65.8953587121072,75.919360679393,
2013,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,27278,26,95.3149057848816,1607171,1792865.7834797,58.9182124789207,65.7257050912714,
2014,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,27317,30,109.821722736757,1931845,2106789.02115576,70.7195153201303,77.1237332487373,
2015,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,27325,32,117.108874656908,1925900,2099669.66132649,70.4812442817932,76.8406097466238,
2016,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,27498,34,123.645356025893,2528586,2752125.09902318,91.9552694741436,100.084555204858,
2017,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,27808,34,122.266973532796,2372604,2514024.99791228,85.320914844649,90.4065376119203,
2018,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,28083,35,124.630559413168,2435440,2488134.58376193,86.7229284620589,88.5993157341426,
2019,"FL","FL005","Florida Department of Health in Bradford County","single county","12007","Bradford County",,1,,28455,32,112.458267439817,2564519,2564519,90.125426111404,90.125426111404,
1990,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,402692,174,43.2092020700684,6778883,15889338.7625577,16.833915250365,39.45779593972,
1991,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,411467,185,44.9610782881738,7085559,16021459.4529861,17.2202363737554,38.9374104192708,
1992,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,418469,179,42.7749725786139,7333537,16035518.4066047,17.5246840267738,38.3194893925349,
1993,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,427257,192,44.93782430715,7886750,16826196.0853302,18.4590305132508,39.3819085125116,
1994,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,436015,211,48.3928305218857,8632240,17953887.332202,19.7980344712911,41.1772240225727,
1995,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,443328,227,51.2036235022376,9038342,18310306.8084613,20.3874828569366,41.3019407943131,
1996,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,447672,232,51.8236566057292,9550710,18913941.9447548,21.3341687664183,42.2495531209341,
1997,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,454738,244,53.6572707800976,9936247,19249296.1168301,21.8504875334808,42.3305202486488,
1998,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,461493,226,48.971490358467,9189928,17463136.8091044,19.9134721436728,37.8405237113118,
1999,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,469515,222,47.282834414236,9531649,17428903.3866811,20.3010532144873,37.1210789573945,
2000,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,478541,235,49.1075999757596,10365987,18086474.6523504,21.661648636167,37.7950366893336,
2001,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,486791,255,52.3838772697112,12288622,20734856.2244841,25.2441437906617,42.5949868105288,
2002,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,495800,287,57.8862444534086,13711494,22627352.957502,27.6552924566357,45.6380656666034,
2003,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,505975,299,59.0938287464796,14248463,22784093.2568494,28.1604091111221,45.0300770924441,
2004,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,518389,308,59.414840978493,15533219,23744685.8446842,29.964407037958,45.8047640761748,
2005,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,528565,322,60.9196598337007,17164176,24840395.4994033,32.4731603492475,46.995914408641,
2006,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,534637,351,65.652021839117,19218295,26480000.5207075,35.946436554148,49.5289336890404,
2007,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,539207,355,65.8374242174156,19917261,26036870.1205224,36.9380608931264,48.2873369977066,
2008,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,541732,341,62.9462538672259,20015511,24914400.1958988,36.9472562078666,45.9902686123374,
2009,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,542438,328,60.4677400919552,19151595,23971119.0155136,35.3065142928777,44.191444949494,
2010,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,543627,343,63.0947322336823,21102611,25681839.023672,38.8181804803661,47.241654707496,
2011,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,545304,330,60.5167026099203,19767463,23301332.6016841,36.2503539310183,42.7309034991199,
2012,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,546128,326,59.6929657516187,19119847,22028358.12564,35.0098273664782,40.3355223054669,
2013,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,549144,331,60.2756289789199,18964868,21156095.3535181,34.535327710036,38.5255877393145,
2014,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,554431,332,59.8812115484163,19078508,20806219.5437172,34.4109690836191,37.5271576512085,
2015,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,563818,309,54.8049193179359,18260224,19907803.2825307,32.3867347264543,35.3089175629915,
2016,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,570496,291,51.0082454565851,17775511,19346951.209515,31.1579940963653,33.9125098326982,
2017,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,576970,292,50.6092171170078,18401695,19498543.0497282,31.8936773142451,33.7947259818157,
2018,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,584050,292,49.9957195445595,18278385,18673866.6745291,31.2959250064207,31.9730616805567,
2019,"FL","FL006","Florida Department of Health in Brevard County","single county","12009","Brevard County",,1,,593372,284,47.8620494394747,18078328,18078328,30.4671066379944,30.4671066379944,
1990,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1264775,500,39.5327232116384,19397046,45465637.1686774,15.3363610128284,35.9476089966021,
1991,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1298874,531,40.8815635696765,21772312,49230302.6346633,16.7624511692435,37.9022927817966,
1992,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1325773,543,40.9572377775079,22291887,48743459.575707,16.8142562867097,36.7660674758854,
1993,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1364198,522,38.2642402349219,24310898,51866730.498426,17.8206521340744,38.0199432182322,
1994,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1400627,555,39.6251107539695,26230090,54555026.3400368,18.727391375434,38.9504317281024,
1995,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1438108,564,39.2181950173422,28052897,56830904.4884739,19.5068082508407,39.5178279298035,
1996,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1476877,610,41.3033719124883,31515375,62412111.04904,21.3392008948612,42.2595185983938,
1997,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1515711,646,42.6202620420384,34901530,67614048.4330178,23.0265070320134,44.608799720407,
1998,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1551039,591,38.1034906278952,35361749,67196071.6771895,22.7987490965733,43.3232637459081,
1999,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1590361,539,33.8916761666062,34307291,62731900.8807136,21.5720147815496,39.445069943688,
2000,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1631445,549,33.6511497476164,33611989,58645875.8884783,20.6025878898768,35.9471976612625,
2001,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1659975,563,33.9161734363469,37867620,63894849.7450242,22.8121628337776,38.4914530309337,
2002,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1684473,597,35.4413516868481,39124115,64564456.5978658,23.2263236038809,38.3291727429682,
2003,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1706559,610,35.7444424716637,40396869,64596864.2779736,23.6715337705875,37.8521130989164,
2004,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1727910,622,35.9972452268926,40827562,62410607.45325,23.6282919828,36.1191308883275,
2005,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1745138,641,36.7306195842392,43960684,63620926.3400872,25.1903769214813,36.456100514737,
2006,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1746544,636,36.4147711136965,46946159,64684942.9028547,26.8794596643428,37.0359652564463,
2007,"FL","FL007","Florida Department of Health in Broward County","single county","12011","Broward County",,1,,1740832,653,37.5107994338339,49524021,64740352.7333916,28.4484780840426,37.1893167941488,
